phylum,class,order,family,genus
Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Sharpea
Chloroflexota,Anaerolineae,CG2-30-64-16,CG2-30-64-16,VGOD01
Pseudomonadota,Magnetococcia,Magnetococcales,UBA8363,UBA8363
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,CAKAHY01
Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter
Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_B
Pseudomonadota,Gammaproteobacteria,REEB76,REEB76,REEB76
Bacillota,Clostridia,Lachnospirales,Defluviitaleaceae,JAAYQR01
Bacteroidota_A,Kapaibacteriia,Kapaibacteriales,UBA2268,XYC2-FULL-35-21
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Chordicoccus
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Aldehydirespiratoraceae,JAJRXC01
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas_C
Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,JACTMZ01,JACTMZ01
Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,SELP01
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter_F
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HLUCCA09
Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Roseofilum
Pseudomonadota,Gammaproteobacteria,Burkholderiales,JABEVD01,JABEVD01
Pseudomonadota,Gammaproteobacteria,GCA-2729495,GCA-2729495,SMWD01
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Simonsiella
Patescibacteriota,Patescibacteriia,Magasanikbacterales,UBA922,UBA10181
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,V9D3004
Patescibacteriota,Minisyncoccia,UBA9973,W02-35-19,WO2-35-19
Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,SZUA-320
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,M30B80
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus
Actinomycetota,Actinomycetes,Mycobacteriales,HKI-0501,Fodinicola
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter_A
Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,Yimella
Planctomycetota,Brocadiia,SM23-32,SM23-32,DAOVRD01
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,Luminiphilus
Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,JAKQJC01
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,CAISIP01
Planctomycetota,GCA-002687715,GCA-002687715,GCA-002687715,SXUL01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,UMGS2037
Omnitrophota,Koll11,Zapsychrales,Fredricksoniimonadaceae,JACQQW01
Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Coprocola
Bacteroidota,Bacteroidia,Chitinophagales,JADIYW01,JAMLHH01
Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira
Bacillota,Clostridia,Christensenellales,Aristaeellaceae,SFHK01
Bacillota,Clostridia,Oscillospirales,CAG-272,Apopatosoma
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Brachymonas
Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Aquiluna
Actinomycetota,Actinomycetes,S36-B12,UBA5976,UBA5976
Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,CAIOHZ01
Myxococcota,UBA9042,GCA-2863065,GCA-2863065,SXOO01
Desulfobacterota_E,Deferrimicrobia,Deferrimicrobiales,Deferrimicrobiaceae,Deferrimicrobium
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Peptidiphaga
Thermotogota,Thermotogae,Thermotogales,DSM-5069,Pseudothermotoga_A
Bacteroidota,Bacteroidia,Bacteroidales,UBA3663,Liminaster
Actinomycetota,Acidimicrobiia,IMCC26256,JAOSJL01,JAOSJL01
Bacteroidota,Bacteroidia,NS11-12g,UKL13-3,CAIUEQ01
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Ewingella
Pseudomonadota,Alphaproteobacteria,Kiloniellales,Rhodovibrionaceae,Ferruginivarius
Bacillota,Clostridia,Christensenellales,Pumilibacteraceae,UBA10677
Pseudomonadota,Alphaproteobacteria,Rickettsiales,CAIPFW01,CAIPFW01
Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
Bacillota,Bacilli,RF39,UBA660,RUG13868
Bacillota,Negativicutes,Veillonellales,Negativicoccaceae,Negativicoccus
Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,JAJDFX01
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pontimicrobium
Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio
Bacteroidota,Bacteroidia,Chitinophagales,LD1,CALAYL01
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Mobiluncus
Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JAHDHU01
Pseudomonadota,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum
Bacteroidota_A,Rhodothermia,Balneolales,Balneolaceae,UBA1275
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,DASSKA01
Bacillota,Bacilli,Bacillales_A,Planococcaceae,Kurthia
Pseudomonadota,Gammaproteobacteria,Thiohalomonadales,Thiohalomonadaceae,Sulfurivermis
Patescibacteriota,JAEDAM01,BD1-5,UBA2023,UBA1545
Chloroflexota,Anaerolineae,Aggregatilineales,Phototrophicaceae,Flexifilum
Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,Ga0077546
Pseudomonadota,Gammaproteobacteria,Enterobacterales,DSM-103792,Permianibacter
Actinomycetota,Humimicrobiia,Humimicrobiales,Humimicrobiaceae,Halolacustris
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,RGIG9985
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,SCQM01
Verrucomicrobiota,Verrucomicrobiia,Opitutales,Coraliomargaritaceae,UBA7441
Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,JBBQDZ01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lientehia
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,RYN-46
Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Aminivibrio
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia
Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS1484
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,ZC4RG25
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA3077
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Balneatricaceae,Marinobacterium_C
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,DATJGR01
Omnitrophota,Koll11,S143-82,S143-82,S143-82
Pseudomonadota,Alphaproteobacteria,RF32,CAG-239,RUG410
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter
Bacillota,Clostridia,Christensenellales,CAG-917,Limadaptatus
Pseudomonadota,Alphaproteobacteria,Rickettsiales,JABIRX01,JABIRX01
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio
Chloroflexota,Anaerolineae,Anaerolineales,Villigracilaceae,Defluviilinea
Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas_A
Verrucomicrobiota,Kiritimatiellia,SS1-B-03-39,UBA6053,PXAS01
Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Cellulomonas
Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,XYC1-FULL-37-79
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Balneatricaceae,Marinobacterium_A
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,JAJDIA01
Desulfobacterota,S145-22,S145-22,S145-22,JANTFN01
Bacteroidota,Bacteroidia,Flavobacteriales,Sanyastnellaceae,ASP10-05a
Verrucomicrobiota,Verrucomicrobiia,Limisphaerales,UBA9464,CAIVQB01
Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231
Actinomycetota,UBA4738,UBA4738,CALAEC01,DATLGG01
Desulfobacterota_B,Binatia,Binatales,Binataceae,DTIX01
Bacillota,Proteinivoracia,UBA4975,UBA4975,JAAYIH01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,14-2
Pseudomonadota,Alphaproteobacteria,UBA2966,UBA2966,JABILA01
Pseudomonadota,Gammaproteobacteria,Arenicellales,UBA868,UBA9619
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Pseudoteredinibacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,CAG-882
Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Avitreponema
Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Sulfomarinibacteraceae,JAHECW01
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesonia
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Fimisoma
Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio
Pseudomonadota,Gammaproteobacteria,PS1,Pseudothioglobaceae,Thiodubiliella
Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Eggerthia
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudosulfitobacter
Chloroflexota,Anaerolineae,Anaerolineales,Villigracilaceae,Villigracilis
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Oceaniferula
Bacteroidota_A,Ignavibacteria,Ch128b,Ch128b,CAKZPH01
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,JAFLTL01
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Hamiltonella
Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Jejuia
Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Thermoflavifilum
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium
Actinomycetota,Actinomycetes,Mycobacteriales,Frankiaceae,Parafrankia
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactovum
Bacteroidota,Bacteroidia,Bacteroidales,WCHB1-69,F23-D06
Pseudomonadota,Gammaproteobacteria,Nevskiales,Oceanococcaceae,MS8
Armatimonadota,Zipacnadia,Zipacnadales,FEN-943,JANZZA01
Bacillota,Clostridia,Christensenellales,UBA1242,UBA7867
Chloroflexota,Dehalococcoidia,Lucifugimonadales,Lucifugimonadaceae,Lucifugimonas
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,UBA2463
Bacillota,Clostridia,Christensenellales,DTU072,Stercoripulliclostridium_A
Patescibacteriota,Patescibacteriia,Veblenbacterales,UBA10138,UBA10138
Pseudomonadota,Alphaproteobacteria,Rickettsiales,UBA1997,CALXSC01
Bacillota,Clostridia,UMGS1883,UMGS1540,UMGS1540
Pseudomonadota,Gammaproteobacteria,SAR86,D2472,D2472
Chloroflexota,Chloroflexia,Thermomicrobiales,UBA6265,DATBFX01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,UBA1258
Pseudomonadota,Alphaproteobacteria,Rhizobiales,CALHAX01,CALHAX01
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,P52-10
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Xylophilus
Myxococcota,UBA796,UBA9615,JAKLKC01,JAKLKC01
Bacillota,Clostridia,Christensenellales,DTU072,JBAZCO01
Bacteroidota,Bacteroidia,J057,J057,JBCCCJ01
Bacteroidota,Bacteroidia,Bacteroidales,P3,UBA1217
Pseudomonadota,Gammaproteobacteria,S012-40,S012-40,CALZHW01
Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,SIG77
Chloroflexota,Chloroflexia,Chloroheliales,Chloroheliaceae,Chlorohelix
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Chimaeribacter
Pseudomonadota,Gammaproteobacteria,Arenicellales,UBA868,REDSEA-S09-B13
Patescibacteriota,4484-211,4484-211,4484-211,JALUVT01
Bacillota,Clostridia,Clostridiales,Clostridiaceae,Proteiniclasticum
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pannonibacter
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Christiangramia
Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Patulibacter
Acidobacteriota,Terriglobia,Acidiferrales,UBA7541,Palsa-360
Patescibacteriota,Microgenomatia,Daviesbacterales,UBA10151,UBA10151
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,JAJKJG01
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium_A
Patescibacteriota,Saccharimonadia,Saccharimonadales,UBA1547,UBA1547
Pseudomonadota,Alphaproteobacteria,Rhizobiales,GCA-2746425,GCA-2746425
Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,UBA652
Patescibacteriota,Minisyncoccia,2-02-FULL-40-12,GWA2-44-9,UBA12115
Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Trichococcus
Bacteroidota,Bacteroidia,Bacteroidales,GCA-2711565,GCA-2711565
Gemmatimonadota,Gemmatimonadetes,Longimicrobiales,RSA9,JADGGV01
Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium
Pseudomonadota,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,UBA1672
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila
Patescibacteriota,Patescibacteriia,Buchananbacterales,UBA6539,HO2-39-17
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA668
Bacillota,Clostridia,Christensenellales,Pumilibacteraceae,Anaerocaecibacter
Bacteroidota,Bacteroidia,Bacteroidales,P3,UBA10566
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,JAFBIO01
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,JAFKFJ01
Bacillota,Bacilli,Mycoplasmatales,Mycoplasmoidaceae,Malacoplasma
Verrucomicrobiota,Kiritimatiellia,RFP12,UBA1067,UBA1731
SAR324,SAR324,JACQKK01,JACQKK01,JAPUIH01
Verrucomicrobiota,Verrucomicrobiia,Opitutales,Opitutaceae,MWDT01
SAR324,SAR324,JACQKK01,JAPUJL01,JACZRV01
Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,PALSA-612
Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,RGIG3009
Desulfobacterota,Desulfuromonadia,Desulfuromonadales,Syntrophotaleaceae,Syntrophotalea
Desulfobacterota_B,Binatia,Bin18,Bin18,JABFSC01
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,UBA2922
Actinomycetota,Actinomycetes,Streptomycetales,Catenulisporaceae,Actinospica
Deinococcota,Deinococci,Deinococcales,Marinithermaceae,Oceanithermus
Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Oerskovia
Bacillota,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,QPJE01
Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,DASYRX01
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas
Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,UBA10450,JACCXL01
Bacillota,Bacilli,Mycoplasmatales,Mycoplasmoidaceae,Ureaplasma
Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Naasia
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Gallionella
Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus
Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus
Actinomycetota,Acidimicrobiia,Acidimicrobiales,SZUA-35,JAHELU01
Bacillota,Bacilli,RF39,UBA660,RGIG9169
Bacillota,UBA4882,UBA10575,UBA10575,UBA5388
Omnitrophota,Koll11,VGKH01,VGKH01,VGKH01
Bacteroidota,Bacteroidia,J057,JADKCL01,JADKCL01
Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,DATCKK01
Cyanobacteriota,Cyanobacteriia,CACIAM-69d,CACIAM-69d,MS008
Spirochaetota,Spirochaetia,Treponematales,UBA12059,SZUA-370
Acidobacteriota,Polarisedimenticolia,Polarisedimenticolales,JBBIHW01,JBBIHW01
Bacillota,Clostridia,Saccharofermentanales,DTU023,DTU032
Acidobacteriota,Holophagae,Holophagales,Holophagaceae,MWBB01
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,CAIQWF01
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PCRC01
Bacillota,Bacilli,RFN20,CAG-826,UBA2450
Nitrospinota,CAJXCL01,CAJXCL01,CAJXCL01,CAJXCL01
Bacteroidota,Bacteroidia,NS11-12g,UKL13-3,UBA6183
Patescibacteriota,Microgenomatia,JAMCZE01,JAMCZE01,JBBTUQ01
Bacillota,Bacilli,RF39,UBA660,CAVCAD01
Bacillota,Clostridia,JAAYHZ01,JAAYHZ01,JAAYHZ01
Bacteroidota,Bacteroidia,Cytophagales_B,MED-G16,MED-G16
Verrucomicrobiota,Verrucomicrobiia,Opitutales,Opitutaceae,Lacunisphaera
Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,UBA3076,UBA3076
Patescibacteriota,Patescibacteriia,UBA9629,UBA9629,UBA9645
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,CANPXN01
Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,AG11
Bacteroidota_A,Rhodothermia,Balneolales,Balneolaceae,Balneola
Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,Dermacoccus
Bacillota,Bacilli,Bacillales,Bacillaceae,Metabacillus
Hydrogenedentota,Hydrogenedentia,Hydrogenedentales,SLHB01,JAVEWL01
Bacillota,Clostridia,Lachnospirales,Cellulosilyticaceae,Cellulosilyticum
SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,QIJE01
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax_C
Chloroflexota,Anaerolineae,B4-G1,SLSP01,DSWT01
Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Longicatena
Spirochaetota,UBA4802,UBA4802,UBA5550,RBG-16-49-21
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,QLZD01
Bacillota,Clostridia,Tissierellales,Tepidimicrobiaceae,Schnuerera
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodosalinus
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,HGM04593
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parasphingorhabdus
Myxococcota_A,UBA9160,UBA9160,SMWR01,JAQBHB01
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,HUN007
Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,RUG039
Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,CAILAF01
Pseudomonadota,Alphaproteobacteria,UBA2136,UBA6156,JADCGN01
Bacteroidota,Bacteroidia,Bacteroidales,Lentimicrobiaceae,Lentimicrobium
Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Wenzhouxiangellaceae,GCA-2722315
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas
Bacillota,Clostridia,TANB77,CAG-508,CAG-492
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,UBA2658
Bacillota,DSM-12270,Thermacetogeniales,Thermacetogeniaceae,Syntrophaceticus
Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,JARLHI01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,RGIG3528
Patescibacteriota,Minisyncoccia,Moranbacterales,UBA11712,UBA11712
Patescibacteriota,Minisyncoccia,Ryanbacterales,H02-45-13,HO2-45-13
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Salinicola
Actinomycetota,CAJVYJ01,CAJVYJ01,CAJVYJ01,JAUVQW01
Bacteroidota_A,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,JAEXUB01
Campylobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,JAADEQ01
Chloroflexota,Chloroflexia,Thermomicrobiales,UBA6265,CADCWF01
Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,Spyradomonas
Bacillota,Clostridia,Christensenellales,Aristaeellaceae,SFMI01
Bacteroidota,Bacteroidia,Bacteroidales,P3,Onthomorpha
Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Tuwongella
Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter
Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Planktothrix
Arandabacterota,Arandabacteria,Arandabacterales,Arandabacteraceae,Arandabacterum
Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter
Synergistota,Synergistia,Synergistales,Dethiosulfovibrionaceae,Dethiosulfovibrio
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Balneatricaceae,Marinobacterium
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,JAIYDQ01
Actinomycetota,Actinomycetes,Actinomycetales,Bifidobacteriaceae,JAITBJ01
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Palsa-688,JALZAH01
Bacteroidota,Bacteroidia,NS11-12g,UKL13-3,CAISCU01
Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Avimonas
Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,ZC4RG30
Bacillota,Negativicutes,Veillonellales,Megasphaeraceae,Caecibacter
Chloroflexota,Dormibacteria,Dormibacterales,Dormibacteraceae,Palsa-870
Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Arthrobacter_H
Bacteroidota_A,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium_A
Bacteroidota,Bacteroidia,NS11-12g,UBA9320,JABWCE01
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Desulfobacillus
Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho_A
Patescibacteriota,Patescibacteriia,PEXW01,PEXW01,PEXW01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,UBA3633
Bacteroidota,Bacteroidia,Chitinophagales,CAJXBJ01,CAJXBJ01
Desulfobacterota,Desulfobacteria,Desulfobacterales,JAZFSW01,JAZFSW01
Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,UBA965
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mobilitalea
Actinomycetota,Actinomycetes,Mycobacteriales,Geodermatophilaceae,Blastococcus
Acidobacteriota,Thermoanaerobaculia,Multivoradales,UBA5704,UBA5704
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Zongyangia
Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75
Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Kibdelosporangium
Patescibacteriota,Saccharimonadia,Saccharimonadales,UBA4665,DAIDIO01
Pseudomonadota,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Thiolapillus
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Alkalimarinus
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,UBA9786
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,FB2012
Bacteroidota_A,Rhodothermia,Balneolales,Natronogracilivirgulaceae,SLHZ01
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetovibrionaceae,Magnetovibrio
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylovulum
Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,UBA944
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Granulimonas
Chloroflexota,Dehalococcoidia,Lucifugimonadales,Lucifugimonadaceae,Bin127
UBA9089,UBA9088,UBA9088,UBA9088,JBFLYE01
Pseudomonadota,Gammaproteobacteria,GCA-2729495,GCA-2729495,QUBU01
Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_J
Armatimonadota,Fimbriimonadia,Fimbriimonadales,GBS-DC,GBS-DC
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Terrisporobacter
Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Saccharopolyspora_C
Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia
Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,UBA1926
Bdellovibrionota_B,Oligoflexia,Oligoflexales,RGVZ01,CAMDKS01
Nitrospirota,UBA9217,UBA9217,UBA9217,JALNZF01
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Schlegelella_A
Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,DASUSM01
Desulfobacterota,Syntrophia,Syntrophales,UBA2192,JAPLJU01
Bacillota,Bacilli,Bacillales_B,Bacillaceae_B,Bacillus_BM
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium_A
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Alicycliphilus
Bacillota,Clostridia,Lachnospirales,Vallitaleaceae,UBA1351
Bacillota,Clostridia,Christensenellales,CAG-314,CAG-314
Bacillota,Clostridia,Tissierellales,Dethiosulfatibacteraceae,Dethiosulfatibacter
Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Actinosynnema
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Actinobacillus_B
Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus
Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Pseudoclavibacter_A
Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,CAIKLP01
Actinomycetota,CALGFH01,JBBAAN01,JBBAAN01,JBBAAN01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,CAVBBU01
