phylum,class,order,family,genus
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Pseudomethylobacillus
Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Halostreptopolyspora
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Parvibacter
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Hanamia
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Montanilutibacter
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Haliea
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Luxibacter
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Lucifera
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Corticibacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Allofranklinella
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Solilutibacter
Bacillota,Clostridia,Thermosediminibacterales,Tepidanaerobacteraceae,Biomaibacter
Bacillota,Clostridia,Eubacteriales,Maliibacteriaceae,Maliibacterium
Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,Hydrogenothermus
Pseudomonadota,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Eilatimonas
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacter
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Umboniibacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodophyticola
Bacillota,Bacilli,Bacillales,Bacillaceae,Falsibacillus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Notoacmeibacteraceae,Notoacmeibacter
Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalispirillum
Aquificota,Aquificia,Aquificales,Aquificaceae,Hydrogenivirga
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Galactobacter
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Terracoccus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yokenella
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Oceanibaculaceae,Oceanibaculum
Aquificota,Aquificia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio
Bacillota,Bacilli,Bacillales,Bacillales Family X. Incertae Sedis,Brockia
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacterium
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alginatibacterium
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ichthyenterobacterium
Bacillota,Bacilli,Bacillales,Sporolactobacillaceae,Sinobaca
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Zymobacter
Bacillota,Tissierellia,Tissierellales,Thermohalobacteraceae,Thermohalobacter
Bacillota,Clostridia,Peptostreptococcales,Caminicellaceae,Caminicella
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pelobium
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Paracnuella
Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Bailinhaonella
Actinomycetota,Actinomycetes,Motilibacterales,Vallicoccaceae,Vallicoccus
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Oleomonas
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Psittacicellaceae,Psittacicella
Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Fibrisoma
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Salinibius
Pseudomonadota,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Desertibaculum
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Facilibium
Deinococcota,Deinococci,Thermales,Thermaceae,Calidithermus
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Ferriphaselus
Bacteroidota,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Mariniphaga
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Algihabitans
Candidatus Cryosericota,Candidatus Cryosericia,Candidatus Cryosericales,Candidatus Cryosericaceae,Candidatus Cryosericum
Chloroflexota,Anaerolineae,Aggregatilineales,Aggregatilineaceae,Aggregatilinea
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Indioceanicola
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Dichotomicrobium
Mycoplasmatota,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma
Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Suicoccus
Mycoplasmatota,NA,Mycoplasmatales,NA,NA
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Profundibacter
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Fastidiosibacter
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Desertimonas
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Allorhizocola
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Paratractidigestivibacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Marixanthomonas
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Deminuibacter
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Purcelliella
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter
Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Calidifontibacter
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Thermasporomyces
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodosalinus
Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Criibacterium
Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Pseudolabrys
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Undibacter
NA,Candidatus Babeliae,Candidatus Babeliales,Candidatus Chromulinivoraceae,Candidatus Chromulinivorax
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Enterobacillus
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Phocoenobacter
Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Suttonella
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Canicola
Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Fluoribacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Marinirhabdus
Balneolota,Balneolia,Balneolales,Cyclonatronaceae,Cyclonatronum
Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Peterkaempfera
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidibrevibacterium
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Aquirhabdus
Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudacidovorax
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Alkalilacustris
Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Pleomorphovibrio
Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Mizugakiibacter
Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea
Actinomycetota,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebya
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Ferruginivarius
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Desertihabitans
Chlamydiota,Chlamydiia,Parachlamydiales,Candidatus Parilichlamydiaceae,Candidatus Similichlamydia
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ephemeroptericola
Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalbus
Bacillota,Bacilli,Bacillales,Bacillaceae,Saliterribacillus
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerobacterium
Bacteroidota,Flavobacteriia,Flavobacteriales,Schleiferiaceae,Schleiferia
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Oceanihabitans
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Oleisolibacter
Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Marinitenerispora
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Parvibium
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Edaphovirga
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidisarcina
Bacillota,Clostridia,Thermosediminibacterales,Tepidanaerobacteraceae,Tepidanaerobacter
Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Spongiactinospora
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Roseimicrobium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Roseiarcaceae,Roseiarcus
Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoflavimicrobium
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Nubsella
Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga
Bacteroidota,Cytophagia,Cytophagales,Fulvivirgaceae,Pseudochryseolinea
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Algibacillus
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Paramagnetospirillum
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Sarcina
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum
Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Hydrogeniiclostridium
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Oceanibium
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mergibacter
Actinomycetota,Actinomycetes,Micrococcales,Jonesiaceae,Jonesia
Bacteroidota,Cytophagia,Cytophagales,Leadbetterellaceae,Arcticibacterium
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Confluentibacter
NA,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas
Bacteroidota,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Breznakibacter
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Humitalea
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aestuariivirgaceae,Aestuariivirga
Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Putridiphycobacter
Cyanobacteriota,Cyanophyceae,Acaryochloridales,Acaryochloridaceae,Acaryochloris
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Parazoarcus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudoroseicyclus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Litorivita
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Sanguibacteroides
Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Rivihabitans
Bacillota,Bacilli,Bacillales,Bacillaceae,Streptohalobacillus
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnotalea
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Aurantimicrobium
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix
Pseudomonadota,Gammaproteobacteria,Chromatiales,Oceanococcaceae,Abyssibacter
Bacteroidota,Cytophagia,Cytophagales,Flammeovirgaceae,Sediminitomix
Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Hallerella
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Xanthomarina
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Pseudaminobacter
Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Oceanotoga
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Saliniradius
Bacillota,Bacilli,Bacillales,Bacillaceae,Pueribacillus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassobacter
Bacteroidota,Bacteroidia,Bacteroidales,Balneicellaceae,Balneicella
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Tamilnaduibacter
Bacillota,Tissierellia,NA,NA,Ezakiella
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pararcticibacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Salibaculum
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Ancrocorticia
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Corticimicrobacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Metarhizobium
Bacteroidota,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Marinilabilia
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Albibacillus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylosinus
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Novimethylophilus
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,NA,Pelagibaculum
Verrucomicrobiota,Opitutia,Opitutales,Opitutaceae,Ereboglobus
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Lactimicrobium
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Ascidiaceihabitans
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudoprimorskyibacter
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Dongshaea
Pseudomonadota,Betaproteobacteria,NA,NA,Candidatus Kinetoplastibacterium
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pelagivirga
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Thalassorhabdomicrobium
Pseudomonadota,NA,Thiotrichales,Francisellaceae,NA
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Saccharobesus
Thermodesulfobiota,Thermodesulfobiia,Thermodesulfobiales,Thermodesulfobiaceae,Thermodesulfobium
Bacillota,Bacilli,Bacillales,Caryophanaceae,Metalysinibacillus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Allosediminivita
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Breoghania
Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Stenotrophobium
Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Microvirgula
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Agitococcus
Bacillota,Bacilli,Bacillales,Caryophanaceae,Metasolibacillus
Candidatus Methylomirabilota,Candidatus Methylomirabilia,Candidatus Methylomirabilales,Candidatus Methylomirabilaceae,Candidatus Methylomirabilis
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pluralibacter
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Ahniella
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Phycorickettsia
Bacillota,Bacilli,Bacillales,Bacillaceae,Salsuginibacillus
Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Murinocardiopsis
Bacillota,Clostridia,Eubacteriales,NA,Massilistercora
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pulveribacter
Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Pseudoruminococcus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Kumtagia
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Allosphingosinicella
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Phytohalomonas
Cyanobacteriota,Cyanophyceae,Gomontiellales,Chamaesiphonaceae,Chamaesiphon
Cyanobacteriota,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia
Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Phormidesmis
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Aliiruegeria
Actinomycetota,Actinomycetes,Geodermatophilales,Antricoccaceae,Antricoccus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Hasllibacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Jezberella
Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Mongoliibacter
Actinomycetota,Actinomycetes,Streptosporangiales,NA,Allonocardiopsis
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Pseudosporangium
Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Planifilum
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Fastidiosipila
Myxococcota,NA,Nannocystales,Nannocystaceae,Enhygromyxa
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Malikia
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Solimicrobium
Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Anaerolactibacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pukyongia
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Micropruina
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureicoccus
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavipsychrobacter
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Simonsiella
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Pontimonas
Bacillota,Bacilli,Bacillales,Bacillaceae,Pradoshia
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureitalea
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Amnimonas
Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Siphonobacter
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodopila
Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Cuspidothrix
Bacillota,Clostridia,Eubacteriales,Desulfocucumaceae,Desulfocucumis
Pseudomonadota,Alphaproteobacteria,Holosporales,Holosporaceae,Holospora
Mycoplasmatota,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma
Mycoplasmatota,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Terrimesophilobacter
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Bryocella
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Jhaorihella
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Caloramator
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Halpernia
Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Petrotoga
Pseudomonadota,Alphaproteobacteria,Minwuiales,Minwuiaceae,Minwuia
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Parasaccharibacter
Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Alkalispirochaeta
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Superficieibacter
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agarilytica
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Herbinix
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Rubneribacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Mangrovicella
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Aquella
Bacillota,Bacilli,Bacillales,Bacillaceae,Alteribacillus
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Metaprevotella
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Galactobacillus
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Massilicoli
Bacillota,Clostridia,Eubacteriales,Beduinellaceae,Beduinella
Bacillota,Clostridia,Monoglobales,Monoglobaceae,Monoglobus
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Pseudazoarcus
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,Ketobacter
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Prodigiosinella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Chimaeribacter
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Pygmaiobacter
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Marasmitruncus
Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Falseniella
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum
Bacillota,Bacilli,Bacillales,Bacillaceae,Halalkalibacillus
Bacteroidota,Cytophagia,Cytophagales,Raineyaceae,Raineya
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Macromonas
Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiodictyon
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Avrilella
Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia
Mycoplasmatota,Mollicutes,Entomoplasmatales,NA,Williamsoniiplasma
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Pseudoscardovia
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Compostimonas
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Brevirhabdus
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Thermoflavifilum
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Diaminobutyricimonas
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Epibacterium
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Conservatibacter
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Caviibacterium
Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Candidatus Formimonas
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,NA,Candidatus Hodgkinia
Cyanobacteriota,Cyanophyceae,Acaryochloridales,Thermosynechococcaceae,Parathermosynechococcus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Hartmannibacter
Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Leptospirillum
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Konateibacter
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Tychonema
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Sporanaerobium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Notoacmeibacteraceae,Zhengella
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Scatolibacter
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Urinicoccus
Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,NA,Candidatus Fonsibacter
Bacteroidota,Saprospiria,Saprospirales,Lewinellaceae,Flavilitoribacter
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Lacimicrobium
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Propionicimonas
Rhodothermota,Rhodothermia,Rhodothermales,Salisaetaceae,Longibacter
Rhodothermota,Rhodothermia,Rhodothermales,Salisaetaceae,Longimonas
Chlamydiota,Chlamydiia,Parachlamydiales,Criblamydiaceae,Estrella
Chloroflexota,Chloroflexia,Chloroflexales,Oscillochloridaceae,Candidatus Viridilinea
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Mangrovitalea
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pacificitalea
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Pseudobutyrivibrio
Actinomycetota,Actinomycetes,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae,Candidatus Nanopelagicus
Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Scalinduaceae,Candidatus Scalindua
Aquificota,Aquificia,Aquificales,Aquificaceae,Hydrogenobacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Ichthyobacteriaceae,Ichthyobacterium
Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus Nitrosoglobus
Elusimicrobiota,Endomicrobiia,Endomicrobiales,Endomicrobiaceae,Candidatus Endomicrobiellum
Pseudomonadota,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfuricaulis
Pseudomonadota,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Variibacter
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
Campylobacterota,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Lebetimonas
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agaribacterium
Verrucomicrobiota,Opitutia,Opitutales,Opitutaceae,Nibricoccus
Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Melittangium
Bacillota,Bacilli,Bacillales,Bacillaceae,Salimicrobium
Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Brunnivagina
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Vandammella
Actinomycetota,Actinomycetes,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae,Candidatus Planktophila
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Paraferrimonas
Planctomycetota,Planctomycetia,Pirellulales,Thermoguttaceae,Thermogutta
Bacillota,Clostridia,Peptostreptococcales,Thermotaleaceae,Anaeromicrobium
Actinomycetota,Actinomycetes,Micrococcales,Dermatophilaceae,Dermatophilus
